Artist,Title,Lyrics,URL
"A-Beat Power Feat. Edo, Dave & Domino",Wanted,"I never stop, get you honey like the money in my pocket
Just you, my baby
Get up my body with your body, keep on moving
'Cause you're loving with desire

Get me
Won't you get me?
Save your mind and change your life
Follow me just for tonight
Call me
Won't you love me?
Don't you feel me like a bomb?
Don't you know my love?

WANTED Want you
It's a matter which is burning in me
WANTED Want me
She's a light of fire
WANTED Want you
Do you think is better look for money?
WANTED Want me
It's a good desire

It's what you got, take it easy don't be busy don't forget me
Tonight my honey
And keep your money, only money 'cause you need it
If you wanna take me higher ","https://www.eurobeat-prime.com/lyrics.php?lyrics=583
"
A-Beat Sisters,Go Baby Go,"Hello baby check the sound in the town
Doki doki go go baby 1-2-3-4
Everybody feel the music inside
Waku waku get me started 1-2-3

Let it go, let it go, we gotta dance it together
We want the best to ride the night
Screamin' louder, screamin' so higher
Stay together, ready now or never

Go baby go
Take me away forever, your love is like a flame
Go baby go
You'll be the one I'll give you everything, you need it baby
Go baby go
Shake me tonite forever, your love is like a game
Go baby go
You'll be the one with all my love, oh oh oh-oh

Come on baby keep the music tonight
Doki doki baby give me 1-2-3-4
Shake me baby shake and move it again
Waku waku go go move it 1-2-3","https://www.eurobeat-prime.com/lyrics.php?lyrics=1418
"
A-Beat Sisters,Love & Peace,"Take my words like a message for
Love &amp; peace
Come on baby
Right now I give you this love
Open your heart to me

It is my time boy
To say... no more alone
'Cause I look for your love
Right away
I'm ready

Say hi : love &amp; peace
I need the love from you, it takes me higher
&amp; higher
I say : love &amp; peace
I wanna be the one who can relight your fire
Say hi : love &amp; peace
I need the love from you, it takes me higher
&amp; higher
I say : I love you too
'Cause I will be the chance to turn your life in
love &amp; peace

Even if you can't take my love
I'll be there
Take it easy
We're ready to discover
All we got deep inside","https://www.eurobeat-prime.com/lyrics.php?lyrics=1115
"
A-Beat Sisters,"The Tiki, Tiki, Tiki Room","In the Tiki Tiki Tiki Tiki Tiki room
In the Tiki Tiki Tiki Tiki Tiki room
All the birds sing words and the flowers groom
In the Tiki Tiki Tiki Tiki Tiki room!

Welcome to our tropical hideaway
You lucky people you
If we weren't in the show starting
Right away we'd be in the audience too
All together!

Bird of paradise is an elegant bird
It likes to be seen and it loves to be heard
Most like birdies will fly away
But the Tiki Room birds are here ev'ry day!","https://www.eurobeat-prime.com/lyrics.php?lyrics=510
"
"A-Beat Sisters Feat. Domino, Valentina, Lolita & Norma",We're Dancing Together,"The night is coming down
And everybody is out
A crazy feeling is in the air, get it !
Enjoy yourself tonite
The party is starting now
We are dancing over the night, c'mon
good time !

Clappin' your hands
Jump up &amp; down
You can get fun and follow the rhythm
Beat time and
Be playful
Shake up your hair, tonite

We're dancing together, whenever we
go around
A magical music for dancing with you
We're dancing together, we take you
around the town
A crazy desire of loving for you

The party is going on
The sun is rising now
And everybody is having fun, really !
There is no time to stop
Just let your body free
And feel the music inside your heart,
dancin' ","https://www.eurobeat-prime.com/lyrics.php?lyrics=917
"
A. Gordon,Say Yeah,"There was a moment the time stood still 
Nothing could move me, time past through me
There was a man so sensual, so sensual

Who could ever know you'd be the one to give me
What I'm lookin' for
So you ask me to dance and to take a chance
Well the answer is sure

I say yeah yeah yeah!
'Cos you're making me feel like I'm someone
You touch me there right there right there
'Cos you know just what is goin' on

And I say yeah yeah yeah!
'Cos you know how to set my soul a light
I touch you there right there right there
And you know I'll give you my love
Without a fight
I say yeah, I say yeah!

There was a moment my life turned round you got me
Movin' jumpin' and groovin'
You make me feel so sexual, so sexual","https://www.eurobeat-prime.com/lyrics.php?lyrics=2925
"
AAA,Hawaiian Roller Coaster Ride,"Aloha ë, aloha ë, 'ano'ai ke aloha ë
Aloha ë, aloha ë, 'ano'ai ke aloha ë

There's no place I'd rather be,
Than on my surfboard out at sea
Lingering in the ocean blue,
And if I had one wish come true
I'd surf 'til the sun sets beyond the horizon,
'Awikiwiki mai lohilohi
Lawe mai i ko papa he'e nalu
Flying by on a Hawaiian roller coaster ride

'Äwikiwiki, mai lohilohi
Lawe mai i ko papa he'e nalu
Pi'i nä nalu, lä lahalaha,
'O ka moana, hänupanupa
Lalala i ka lä hanahana,
Me ke kai hoene i ka pu'e one
Hele, hele, mai käkou ë
Hawaiian roller coaster ride

There's no place I'd rather be
THan on the seashore dry, wet free
On golden sand is where I'd lay,
And if I only had my way
I'd play 'till the sun sets beyond the horizon,
Lalala i ka lä hanahana,
Me ke kai hoene i ka pu'e one
It's time to try the Hawaiian roller coaster ride

Hang loose, hang ten, how'zit, shake a shaka
No worry, no fear, ain't no biggy brahda
Cuttin' in, cuttin' up, cuttin' back, cuttin' out
Frontside, backside, goofy footed, wipe out
Let's get jumpin', surf's up and pumpin'
Coastin' with the motion of the ocean
Whirlpools swirlin', twistin' and turnin'
Hawaiian roller coaster ride

There's no place I'd rather be,
Than on my surfboard out at sea
Lingering in the ocean blue
And if I had one wish come true
I'd surf 'til the sun sets beyond the horizon
'Awikiwiki, mai lohilohi
Lawe mai i ko papa he'e nalu
Flying by on a Hawaiian roller coaster ride

'Äwikiwiki, mai lohilohi
Lawe mai i ko papa he'e nalu
Pi'i nä nalu, lä lahalaha,
'O ka moana, hänupanupa
Lalala i ka lä hanana,
Me ke kai hoene i ka pu'e one
Hele, hele, mai käkou ë,
Hawaiian roller coaster ride","https://www.eurobeat-prime.com/lyrics.php?lyrics=3710
"
AAA,Hide & Seek (SCP Revamp Mix),"I'll take you to the higher stage
Anyway ride me baby
It's just like Hide &amp; Seek

JUNK ga afureru CLUB no
hijou-kaidan
dare tomo chigau KISS
kiriga naku dekiru kai?
uso tsukina RING tsumagari tai
kouki-shin
konya donna kimi ga kakure teruno

darenimo oshiete inai sugao
kokoro ga GATE tozasu sono maenisa

Face to Face YES ai wo ima
sagashi atete mise youka
Hide &amp; Seek YES kimi wa mada
mada kawaicha inai

CHROME no hada wo atoga nokoru
hodo daite
kudaranai sekai ni
haki suteru OBJECTION
hikari sasu basho de kizutsuki
sugita ore tachi
kodoku saemo marude fukai SHELTER

nigetemo oikakete kuru REAL
tubureta MOSQUITE ni naritaku nai SO

Face to Face YES saigo made
shitai koto shite miyouka
Hide &amp; Seek YES kimi wo motto
kowashite shimaitai

Oh yes, I just want you only
akuma no iutoori
karada de tsunagu STORY
kimochi nara mou tokkuno touni
wakatteru hazude shou?
nagame no matsuge mo
kakusenai Heart &amp; Soul
""mata kondo"" ja nakute kyou
kokoro no atsu-geshou
toppa-ratte nokkatte yukou
konomama asu eto tsuzuku kakurenbo

mienai miraini naniga kakureteru
sono sakini nani wo shinji teru

Face to Face YES ai wo ima
sagashi atete mise youka
Hide &amp; Seek YES kimi wa mada
mada owaranai
Face to Face YES saigo made
shitai koto shite miyouka
Hide &amp; Seek YES kimi wo motto
kowashite shimaitai","https://www.eurobeat-prime.com/lyrics.php?lyrics=3620
"
Ace,Adrenaline,"Body feels like lava flowin'
Hard adrenaline
Rushin' though the pain and squeezing
Power's runnin' in my veins

Fight or flight
And my mind turns crazy
It's time to do or die
Fear thunders in my heart and I, and I

Energy, a heart explosion
All I need, adrenaline
Never stop to is in my mind
Fire away, adrenaline

Rollercoaster of emotion
I just need adrenaline
Setting all the worlds afire
Energy, adrenaline

It's no game, we're messin' 'round with
Hard adrenaline
Waste a wave of hungry feelings
Just bring out the best in me","https://www.eurobeat-prime.com/lyrics.php?lyrics=4054
"
Ace,Brand New World,"Don't stop now
You open up a new door
Right on you can lead me forever
Burn it up
All of yesterday's pain
Reach out for a new day I say

It's a brand new world
Feelin' heaven in a fresh light
Brand new world
Fizz me up in the air

Welcome to my brand new world
Feelin' good we're taggin' all around us
In my eyes a million stars
Gonna shine on you
In my brand new world
Brand new world
Feelin' heaven for the first time
Brand new world
Feelin' heaven in a fresh light
Brand new world
Feelin' heaven for the first time
Brand new world
Feelin' ever so nice

Just in time
You can rescue my life
Show me all a grace and wonder
Burn it up
All of yesterday's pain
Reach out for a new day I say","https://www.eurobeat-prime.com/lyrics.php?lyrics=4187
"
Ace,Breakin' Out,"I'm alright
Ready for the night
I've got to keep on movin' to the rhythm

I'm okay
I can feel no pain
Don't wanna see you wastin' away

So you can bend your mouth
Or get to scream it all out
But you can feel it (Feel it)
Feel it (Feel it)
I will be back in time
Get myself together
And find a way to get thru to you

Breakin' out my baby
Tell me are you ready?
Tonight I'm burnin' for you, go crazy
Breakin' out my baby
Now you got me steady
I got the fire down inside

Never look
What you cannot stop
My freedom call is dancin' to the limit
Boogie down
Shake your body 'round
Don't keep all night your feet on the ground ","https://www.eurobeat-prime.com/lyrics.php?lyrics=3964
"
Ace,Burn The Night With You,"We're steady, ready to go
Tonight we're out for the show
I feel the wind blow right in my soul girl
It's gettin dark in the night
Freewheelin gettin the bite
And no more driftin away

We'll take a ride on the highway
I know I'll never let you go
Everything is like a heaven's gate with you
Right by my side

Take me high I'll burn the night with you
Make me fly make me feel
No regret together
Ride on time burn the night with you
Sing forever burn the night with you
Take me high I'll burn the night with you
Make me fly make me feel
No regret together
Ride on time I'll burn the night with you
Sing forever burn the night with you

I'm tired to cash on my dreams
A night of whisper and scream
My love is young so wild and so magic
I'm burnin' hot with desire
No way to put out the fire
Yeah, no more wastin away
","https://www.eurobeat-prime.com/lyrics.php?lyrics=4366
"
Ace,Christmas,"Christmas
Let us be happy together
Open your heart to the sky
and we'll scream or fight
Let your love around

I still watch the sky
and realize
I wonder like a little child
Let nobody feel so lonely

Love won't break your heart
Don't stand around
We're gonna make a brand new start
It's a miracle
Snowing from above
If you've got this magic love

Christmas
Let us be happy together
Open your heart to the sky
and we'll scream or fight
Let your love around
Christmas
Everyone's brother and sister
Everyone's welcome this time
It's a magic night
Let the light inside

Free from making chains
Just get no pain
I feel I'm burning in the flame
Let nobody feel unhappy

Sound from deep inside
Can be delight
You get your eyes wide open now
I'ts a miracle
Snowing from above
If you've got this magic love

Christmas
Let us be happy together
Open your heart to the sky
and we'll scream or fight
Let your love around
Christmas
Everyone's brother and sister
Everyone's welcome this time
It's a magic night
Let the light inside","https://www.eurobeat-prime.com/lyrics.php?lyrics=4383
"
Ace,City Of Angels,"I'm a lonely boy, with a lonely heart
Lookin' for a soul, lookin' for a dime
Walkin' in the crowd
All I need is an angel

When I see the smile on your face
Well, I feel I'm risin' to grace
As I turn and find
I can change my mind
I'm holdin' up the world in my hand

In the city of angels
You can feel like a stranger
Then somebody goes your way
Pushin' the sorrow really far and away
In the city of angels
Where the night is so tender
I can feel your hope and pride
Givin' the wings to every dreamin' inside
In the city of angels

Nothing's down for good, all is up to me
Heaven's up above, heaven's in my soul
Baby look at me
All you need is an angel","https://www.eurobeat-prime.com/lyrics.php?lyrics=4069
"
Ace,Colours Of You,"I know you're leading me on
Make me bold and make me stay
No fight, no bleeding neuron
I surrender to your way

Baby now that we're close together
Shine your light on every day, on every night
And you're like a sun, you're like a star
In the sky

Colours of you
Colours my life
Just like the rainbow burnin' bright
Colours of you
Colours my mind you got it now
Colours of you
Colours me wild
And I just can't take off my eyes
Colours of you
Colours my heart just one more night
Baby make me feel alright

Don't change the red on your lips
And your hair the blackest black
I know I'd die for your kiss
Magic spell you hold me back","https://www.eurobeat-prime.com/lyrics.php?lyrics=4072
"
Ace,Crazy On Emotion,"You and me
We know we wanna act crazy
Fancy free
We need to glam it amazin'

Gotta let it go
And move on with the flow
The music magic wizard of our soul

Tell me now
Crazy on emotion
Movin' to the wave
Feel it now
Crazy on emotion
Feelin' so high on love

Tell me now
Crazy on emotion
Rockin' to the wave
Dancin' baby now
You got me really crazy
Got crazy for you

Me and you
The bambi girlie, the wild dude
Shockin' who
Seem to be livin' on cat food","https://www.eurobeat-prime.com/lyrics.php?lyrics=3893
"
Ace,Crazy Sexy Baby,"I'm feelin blue, lookin out for you babe
I got away, don't lose the faith
You backed away, never say you're sorry
I need you back to now, I miss you so much

Give me reality to make me free
Give me your hearts desire
I got the fire for you
Come over baby

Crazy sexy baby
Watch out for the lady
Crazy sexy baby
Only you make me feel the power
Crazy sexy baby
Dancin now, she's movin
Crazy sexy baby
Only you make me feel the power

You're in and out in the night of thunder
You're on and off like a love machine
I gotta fly like a mighty dragon
And in the end you tell me who's gonna win","https://www.eurobeat-prime.com/lyrics.php?lyrics=1604
"
Ace,Dance In The Starlight,"You're feelin' strange in the night
Fightin' the dark in your mind
Searchin' for your glory
Into the streets of the world
You bite the dust and you roam
Welcome back into the show

You can dance you can fly
Breathin in from the sky
Energy inside
And the love in your mind
Plays the music of your heart tonight

All stars shinin' down a light on you
Flash, go,
Dance in the starlight
All stars brighten up, the night is fine
Baby
Dance in the starlight
All stars shinin' down a light on you
Flash, go,
Dance in the starlight
All stars brighten up, the night is fine
Baby
Dance in the starlight

No matter baby how cool
Or playin' nice to be cruel
History is comin'
You must be ready to roll
Stand up with body and soul
Rise every time you get burned ","https://www.eurobeat-prime.com/lyrics.php?lyrics=3973
"
Ace,Don't Go,"What have I done to your lovin' heart
What have I dont to this magic
Broken, baby
Now I see you walka way

Oh babe feelin' blue feelin' blue
I'm looking like a creature of the night
Just playing with the pieces of my life
You hear me callin' callin'

Don't go - baby please don't go
Heart and soul
Fightin' for freedom
Don't go - baby please don't leave me alone
Can you believe me
Don't go - baby please don't go
Heart and soul
Fightin' for freedom
Don't go - baby please don't leave me alone
Can you believe me don't go

The sound of love raining in my heart
I'm feeling down under pressure
Fallin', baby
Everytime I hear your name","https://www.eurobeat-prime.com/lyrics.php?lyrics=299
"
Ace,Don't Stop The Dance,"I got no questions on philosophy
When I see you on the disco floor
I feel you baby movin' close to me
Fever night, the heat is on

Like a beat, you make me feel like dancin' wild
You can show me the way
Up to heaven, back in hell, into the light
Can you hear what I say

Don't stop the dance
Move into my heart
Beatin' baby for you - yeah
Don't stop the dance
You can make it right
Such a beautiful dancer
Don't stop the dance
Move into my heart
Beatin' baby for you - yeah
Don't stop the dance
You can make it right
Such a beautiful dancer

I wonder what can be my strategy
I gotta have you, baby, that's for sure
I see no limits to reality
Dream wild, go on and on","https://www.eurobeat-prime.com/lyrics.php?lyrics=920
"
Ace,Drivin' Crazy,"Freakin' out, tonight I'll shake the dust out of my mind
Power-drive, I'm turnin' like the wheel in the dance

Don't touch the brakes or you'll kill my desire
It's gonna get cool, I wanna get higher than hell

I feel like
Drivin' crazy
Runnin' thru your soul
The speed of the fire
Drivin' crazy
Rage in the night
I feel like
Drivin' crazy
Runnin' thru your soul
The speed of the fire
Drivin' crazy
Rage in the night
In the night

Stormin' out, the steel is cryin' loud on the wild side
Skid and slide, the danger is my favorite part","https://www.eurobeat-prime.com/lyrics.php?lyrics=2819
"
Ace,Dynamite,"Breakaway livin' for today
Fear in my body heart and soul
If I let you go everybody knows now
I can't survive without your love

I know your love is a dangerous feelin'
I can't escape
Ravin' like a storm you're gettin' closer
Catchin' fire

Dynamite you blow me out of control
Dynamite and I'm flyin'
Dynamite like an explosion of feelin'
Devasting fire
Dynamite you blow me out of control
Dynamite and I'm flyin'
Dynamite like an explosion of feelin'
Devastating fire

TNT dancin' close to me
Girl, should I stay or run away?
Pulse into my brain what the body feels now
Lava and ice can burn inside","https://www.eurobeat-prime.com/lyrics.php?lyrics=747
"
Ace,Fantasista!,"I can hear the crowd callin' out your name
Gonna scream it loud, got to play this game now
Fame's ahead of you
Risin' to the limit
Go, go, Shunsuke bombin'

Heartbeat keep on pumpin', go

Magic touch onto the ball
You're ready to let it roll
Save all Japan tonight
Again, and kick-off the magic, boy, come on!

Fantasista!
Saviour of Japan
Go, Shunsuke, thunder from heaven
Fantasista!
Show me your fire
Spread your wings and fly - and you will fight for me!

Fantasista!
Saviour of Japan
Go, Shunsuke, bombin' from heaven
Fantasista!
Show me your power
Boom into the night - and you will score for me!

Runnin' to the goal, like it's gonna be
Wanna feel the roar, boy you play to win now!
Sunshine on the green
Risin' to the limit
Go, go, Shunsuke bombin'","https://www.eurobeat-prime.com/lyrics.php?lyrics=37
"
Ace,Fight 4 Love,"Crashin' down in flames,
Or my imagination
Playin' me games?
Hey I got the feelin'
All my life was dreamin'
Wastin' away

Lonely in this no man's land
Lonely in this world so grand
I've got to fight 4 love

Savin' my life, I need
To fight 4 love
Fight 4 love, it's comin' my way
Healin' my life, I got
To fight 4 love
Save myself today
Savin' my life I need
To fight 4 love
Fight 4 love
It's goin' your way
Healin' my life I got
To fight 4 love
Spell the night away

Once upon a time I
Used to play it fine
And live by the day
I would think forever
Was my luck to never
Drown in the wave","https://www.eurobeat-prime.com/lyrics.php?lyrics=4504
"
Ace,Fightin' Over Freedom,"Everybody's freedom
Everybody's reason
Tell me baby who do you fight?
In this world of power
No matter breakin' your heart

Greedy lies
You'll get in the fever
Flesh and cries
And now you'll be fightin' over freedom
To be alive

Come on - Get ready
Come on - Go steady
Come on - No limit
Fightin' over freedom
Come on - Get ready
Come on - And get your kicks tonight
Fightin' over freedom
Come on - Get ready
Come on - Go steady
Come on - No limit
Fightin' over freedom
Come on - Get ready
Come on - And get your kicks tonight
Fightin' over freedom

Screamin' for a livin'
Don't you leave and give in
Lookin' for a place in the sun
All you got is your tomorrow
NEver mind the sorrow
Huntin' the enemy down","https://www.eurobeat-prime.com/lyrics.php?lyrics=143
"
Ace,Futureland,"I need a place to go
Where dreams are solid gold
Watch up in the sky
A shiny city bright

Here it callin'
See it comin'
In the share of worlds to be
So can you feel it in the wind
Risin' like a tide of energy?

Futureland
And I believe
The night is over, let the light fall on me
Futureland
All history
Is just a dream
A fire burnin' so high
Futureland
And I believe
The night is over, let the light fall on me
Futureland
All history
Is just a dream
A fire burnin' so high

Imagination bold
Creates a different world
Sharp and full of life
My atoms goin' wild","https://www.eurobeat-prime.com/lyrics.php?lyrics=3022
"
Ace,Heavensent,"I just can't help
The feelin' fancy free
It's really hard to tell
You made my dreams all
Fading fantasies
And now you ring my bell

If you made this poison
Like i'm livin' without my heart
Now i got myself
Risin' back from hell
Baby i was born to be me

Never enough
And this lust for life is heavensent
Savin' my life
Heavensent this hungry feelin'
Never enough
And this lust for life is heavensent
Savin' my life
Heavensent this hungry feelin'

I'll get my kicks from
Anywhere i go
I wanna take control
Edgin' the night
I find i'm feelin' right
I wanna save my soul","https://www.eurobeat-prime.com/lyrics.php?lyrics=4137
"
Ace,I'll Never Break,"Think i'll lose my mind
I gotta be crazy
Need to go unwind
A day to remember

In the big machine i clutch my flower
In the labyrinth of now, i know

I'll never break
Under their madness
I'll be miles above
My head up to the sky
I'll never break
Under their pressure
I'll keep it grow
My rhythm leadin' on

Keep on dancin' high
Away from the fire
Tellin' me, remind
I need to remember","https://www.eurobeat-prime.com/lyrics.php?lyrics=4222
"
Ace,In The Fire Of Victory,"Ridin' on the razor's edge
Fightin' up you're feelin' the heat of power
In your limbs

Lookin' always straight ahead
Callin' up your strength and no surrender
Dive and swim

Shinin' in the end, so wild
Go reachin' up for glory lights
So high
Burning' in the sky

Ride, in the fire of victory
And shine, love is takin' you higher
Ride, in the fire of victory
Shine, love can lead you on!

Walkin' on the fireblade
Just remember you're like a freedom rider
Stay alive

Lookin' always straight ahead
Callin' up your strength and no surrender
Dive and swim","https://www.eurobeat-prime.com/lyrics.php?lyrics=3490
"
Ace,Me & You,"You and me just walk among the clouds
Never turn your eyes from me so bright in happiness
It's me and you and me and you tonight
You and me forget about this world
Divin' in the wavy ocean of this loveliness
It's me and you and me and you tonight

Kiss my heart and I can tell
It's you, the way you move
Never alone, never feel wrong again

It's magic
It's crazy
It's a heaven shinin' from above
It's me and you and me and you my love
So precious
So special
Say you'll never ever let me go
It's me and you and me and you my love

You and me it's hard but I will fight
When you lose the faith I'll be there with my tenderness
It's me and you and me and you tonight
You and me reach out and touch the moon
Make a wish forever feel one in togetherness
It's me and you and and me you tonight","https://www.eurobeat-prime.com/lyrics.php?lyrics=3720
"
Ace,Moon Child,"When I gaze up to the highest
Heaven's silver stream - Mhh
Suddenly the moonlight's
Flashin' down all over me

Can you feel what I'm feelin
When I got you by my side
Stars in your eyes
Into my soul can make me shine

Moonchild
Fire and ice that burns
I can never reach
Can you let me touch
Your secret light inside
You're my moonchild
Handful of joy and pain
Every turn I'll find
Every step in time
I wanna be there with you

I would like to be the wind
the clouds to take away
You can tell the blue sky
Anyway is gonna stay","https://www.eurobeat-prime.com/lyrics.php?lyrics=175
"
Ace,My Valentine,"Everyone has a Valentine
I don't have to wander far
Baby, it's you stuck in my life

When the chips are down
I turn around
And badly need your tender love
You'll be by my side

Let me hear you say
You're tomorrow, you were yesterday
You are my Valentine
Dedicated just to you
Whisper in my ear
Every little thing that sounds so sweet
You are my Valentine
All my love is just for you
Just for you

And in my dream just you and I
We can fly up to the stars
Leavin' the world so way behind","https://www.eurobeat-prime.com/lyrics.php?lyrics=2225
"
Ace,New Dirty Road,"Everybody high or low
Bite the tiger in this world
Ride to chase that feelin'
Crazy reelin', don't be slow
Wheels you tell me where to go
Get myself this chance

When I go mess with my mind
When I feel lost then I find
All I need is to wake
All I want is to Shake
Insanity

On a new dirty road
One Sexy whisper chill
On a new dirty road I'll go
Uoohhh
Could be forever baby
Time is on my side

On a new dirty road
One more just for your love
On a new dirty road I'll go
Uooh
Lookin' for something baby
Keep me wantin' more

Need to live in flesh &amp; bones
Racin hard can turn me on
Spins my mind, Still movin'!
Destinations, I don't know
Does it matter for the show?
Make way or dissolve﻿","https://www.eurobeat-prime.com/lyrics.php?lyrics=4349
"
Ace,Open Your Eyes,"Dragonfly of desire
Flashin' out right before my eyes
Sold out - tickets for heaven
Everything is alright tonight

All along, all along
Livin' in a free world
Better believe it
All along all along
You can never beat me
Not so easy

Open your eyes
Spinning' like a part of all the world around me
Open your eyes
I can feel the rhythm of your mind beside me
Open your eyes
Flying with my heart all full of dreams of power
Open your eyes
Steppin' to the light we can make love together

In a Saturday madness
Baby now it's my heart you steal
All night - fire in heaven
Everything is alright tonight","https://www.eurobeat-prime.com/lyrics.php?lyrics=603
"
